Company,Role,Date,URL
"Software Engineer, New Grad, Web","Job Application for Software Engineer, New Grad, Web at CLEAR","2025-12-01T10:29:01.544Z","https://job-boards.greenhouse.io/clear/jobs/7430253?utm_source=Simplify&ref=Simplify"
"Early Career Software Engineer","Early Career Software Engineer @ Citizen Health","2025-12-01T10:29:56.300Z","https://jobs.ashbyhq.com/Citizen%20Health/6a543e11-e135-4888-8f5b-de7e2a356e23/application?utm_source=Simplify&ref=Simplify"
"Copy of Software Engineer (All Levels)","Copy of Software Engineer (All Levels) @ Blossom Health","2025-12-01T10:44:39.018Z","https://jobs.ashbyhq.com/Blossom-Health/11246ea4-ddf8-4ea0-bf1b-cd6e968fcc3d/application?utm_source=Rd3x3m3aqJ"
"Software Engineer","Software Engineer @ Air Space Intelligence","2025-12-01T10:48:22.399Z","https://jobs.ashbyhq.com/airspace-intelligence.com/ee2a234d-d616-4377-ac99-775f39a4b053/application"
"Software Engineer, University Grad","Job Application for Software Engineer, University Grad at Glean","2025-12-01T10:50:33.243Z","https://job-boards.greenhouse.io/gleanwork/jobs/4592324005"
"at Figma","Early Career, Software Engineer (2026)","2025-12-01T10:52:34.887Z","https://boards.greenhouse.io/embed/job_app?token=5616603004&utm_source=jobright"
"at AppLovin","Backend Engineer, New Grad","2025-12-01T10:59:02.134Z","https://boards.greenhouse.io/embed/job_app?token=4451556006&utm_source=jobright"
"Software Engineer, Early Career","Job Application for Software Engineer, Early Career at Affirm","2025-12-02T14:42:09.282Z","https://job-boards.greenhouse.io/affirm/jobs/7485068003"
"nexthop.ai","software engineer - new grad","2025-12-02T14:56:31.109Z","https://nexthopai.bamboohr.com/careers/24"
"Etsy Careers","Software Engineer I, Machine Learning","2025-12-02T14:59:32.723Z","https://etsy.wd5.myworkdayjobs.com/en-US/Etsy_Careers/job/Software-Engineer--ML-Training-Data_JR5230"
"RTX","2026 Full-time - Java Software Engineer I - Onsite (PA)","2025-12-02T14:59:41.068Z","https://globalhr.wd5.myworkdayjobs.com/rec_rtx_ext_gateway/job/PA602-302-Science-Park-Road-Bldg-5C-302-Science-Park-Road-Building-5C-State-College-PA-16803-2214-USA/XMLNAME-2026-Full-time---Java-Software-Engineer-I---Onsite--PA-_01809812?utm_source=Simplify&ref=Simplify"
"Software Engineer, New Grad (2026 Start)","Software Engineer, New Grad (2026 Start) @ Zip","2025-12-03T15:41:09.305Z","https://jobs.ashbyhq.com/zip/482e918e-411c-481f-94d4-e4c4db36a7f3?utm_source=Simplify&ref=Simplify"
"Software Engineer, New Grad (2026 Start)","Software Engineer, New Grad (2026 Start) @ Zip","2025-12-03T15:44:38.084Z","https://jobs.ashbyhq.com/zip/341b1155-bdb7-465f-8d7d-d89e0d6efe93?utm_source=Simplify&ref=Simplify"
"Early Career Software Engineer","Early Career Software Engineer @ Citizen Health","2025-12-03T15:45:16.734Z","https://jobs.ashbyhq.com/Citizen%20Health/8dd7987e-2f3b-4e1e-9773-4bb2f136dd22/application?utm_source=Simplify&ref=Simplify"
"Finix","Software Engineer, Early Career","2025-12-03T15:45:57.128Z","https://jobs.lever.co/finix/d6f2a487-01ab-4909-aaad-89fc5cbec3ff/thanks"
"Software Engineer, New Grad","Software Engineer, New Grad @ FERMÀT","2025-12-03T15:46:32.328Z","https://jobs.ashbyhq.com/fermat/6a40e7b5-d9bb-40a6-8b5e-cdcf566d60f1?utm_source=Simplify&ref=Simplify"
"Software Development Engineer 1","Job Application for Software Development Engineer 1 at iSpot","2025-12-03T15:56:45.097Z","https://job-boards.greenhouse.io/ispottv/jobs/4629254005"
"yext","SWE","2025-12-03T16:04:31.961Z","https://jobright.ai/jobs/info/692fb260fa28370be26ace37"
"ServiceTitan Careers","Software Engineer (Corporate Engineering)","2025-12-03T16:08:01.924Z","https://servicetitan.wd1.myworkdayjobs.com/en-US/ServiceTitan/job/Software-Engineer--Corporate-Engineering-_JR112441"
"at Benchling","Software Engineer, New Grad (2026)","2025-12-03T16:10:23.695Z","https://boards.greenhouse.io/embed/job_app?token=7386982&utm_source=jobright"
"Linkedin","SWE - Application","2025-12-03T16:12:51.174Z","https://jobright.ai/jobs/info/68f6d7289a65fd3458597710"
"Software Engineer I","Job Application for Software Engineer I at GumGum","2025-12-04T10:56:03.782Z","https://job-boards.greenhouse.io/gumgum/jobs/7546755003"
"Leidos","Entry Level Software Developer","2025-12-04T11:00:48.058Z","https://leidos.wd5.myworkdayjobs.com/en-US/External/job/Entry-Level-Software-Developer_R-00171449"
"Software Engineer I, Entry-Level (Graduation Date: Fall 2025-Summer 2026)","Job Application for Software Engineer I, Entry","2025-12-05T16:28:41.944Z","https://job-boards.greenhouse.io/doordashusa/jobs/7263610"
"at Spot & Tango","Jr. Software Engineer","2025-12-05T16:32:12.394Z","https://boards.greenhouse.io/embed/job_app?token=4621715005&utm_source=jobright"
"Careers at Netflix","New Grad Software Engineer (2026)","2025-12-06T08:08:14.957Z","https://explore.jobs.netflix.net/careers/job/790313102199?microsite=netflix.com&utm_source=LinkedIn&domain=netflix.com"
"IBM","Back End Developer","2025-12-06T08:17:40.458Z","https://ibmglobal.avature.net/en_US/careers/JobDetail?jobId=74655&src=LinkedIn&source=LinkedIn&tags=&user=&formValues="
"Early Career Software Engineer","Early Career Software Engineer @ Citizen Health","2025-12-06T08:19:25.131Z","https://jobs.ashbyhq.com/Citizen%20Health/cf869c73-dd9e-4084-a721-400f5a0c8b9b/application?utm_source=Simplify&ref=Simplify"
"chewy","Job Application for Software Engineer I at Chewy","2025-12-06T08:20:00.046Z","https://boards.greenhouse.io/embed/job_app?token=7420795&utm_source=Simplify&ref=Simplify"
"Citzen health","Early career SWE","2025-12-10T08:23:02.864Z","https://jobs.ashbyhq.com/Citizen%20Health/ebc4c080-319d-4348-ada1-6ded3c803ec7/application?utm_source=Simplify&ref=Simplify"
"Software Engineer I, Ad Demand","Job Application for Software Engineer I, Ad Demand at Twitch","2025-12-10T09:22:20.289Z","https://job-boards.greenhouse.io/twitch/jobs/8326594002?utm_source=Simplify&ref=Simplify"
"Honeywell","Software Engineer I","2025-12-10T09:43:33.420Z","https://ibqbjb.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/Honeywell/my-profile/preview/130270"
"D2L","Software Developer","2025-12-11T10:23:31.888Z","https://www.d2l.com/careers/jobs/software-developer-new-graduate/7455458/"
"Trinity","AI Python engineer","2025-12-11T11:50:48.675Z","https://www.linkedin.com/jobs/search-results/?currentJobId=4309683026&eBP=CwEAAAGbDT8M2B2kdVF5EM5Vd-gtHbaXf5IqkuY01HJJ8kQT1titYiemqXuqY4E4WtAQcrWHrGXfz0aq4cEEUp4ajsZ2llFxQhGM-A_SKOKVTpyZtJTdcUoBr4UCl3prlThNkueGXxwsTaZIKsNS882OgATDbzmjXPKBZSOA4D0iP2DBlsFEideb4Ois1bdNNvicm784XeeyERTeZsTPRetqB4VpAkKYV_7vbawd1-eqTeneiZhl5YgBe3R3cIZVYiYH31cHFGcdcGv_kUportTMTK0b9_VVQf7k741y90aCUFTBlDLo_mRtPofrZClUyxOY9xn18MRNmDpzdrd5qAU5_wb1ec8_AcS20rUEIKn0ft_WXwkzd2d1wbwt2Xi9cT3koIDD7fxDIyPWi39-WLtGKYoSg6pRr2QW3mwi1_wgQ2BXPoXN23UZ_nojsY0VOxBgJ2otm7LJ1VnwXjArZqEdFIWK5y1MSE2JW0tT4W4YDbW8gs02TSOowL9NEOMv_YQ_&keywords=ai%20engineer%201&refId=kHTvr7ckokzHVdqzwQL5Vw%3D%3D&trackingId=pM0sR9DKeYzJxtXeSIaNEg%3D%3D"
"IBM","AI Software Dev","2025-12-11T11:58:14.270Z","https://ibmglobal.avature.net/en_US/careers/JobDetail?jobId=73820&src=LinkedIn&source=LinkedIn"
"Texas Instruments","AI Solutions Engineer","2025-12-11T12:02:25.790Z","https://edbz.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX/my-profile/preview/25007961"
"Citi","Technology, Cyber Security, Full Time Analyst, Irving - USA, 2026","2025-12-11T12:14:31.989Z","https://citi.wd5.myworkdayjobs.com/en-US/2/job/Technology--Cyber-Security--Full-Time-Analyst--Irving---USA--2026_25921686"
"chewy","Job Application for Data Engineer I at Chewy","2025-12-11T12:18:01.745Z","https://boards.greenhouse.io/embed/job_app?token=7439025&utm_source=Simplify&ref=Simplify"
"Chewy Inc","Data Engineer I job in Boston, Massachusetts, United States","2025-12-11T12:19:05.970Z","https://careers.chewy.com/us/en/job/7439025?gh_jid=7439025"
"Linkedin","SWE - Applications","2025-12-12T11:34:31.958Z","https://www.linkedin.com/jobs/collections/recommended/?currentJobId=4343101911&discover=recommended&discoveryOrigin=JOBS_HOME_JYMBII"
"Clarvos","SWE","2025-12-12T11:34:58.101Z","https://www.linkedin.com/jobs/collections/recommended/?currentJobId=4348455050&discover=recommended&discoveryOrigin=JOBS_HOME_JYMBII"
"Cisco","Software Engineer Full Stack & Application Development I (Full Time) – United States in San Jose, California, United States of America","2025-12-12T11:38:02.343Z","https://careers.cisco.com/global/en/job/CISCISGLOBAL2000087EXTERNALENGLOBAL/Software-Engineer-Full-Stack-Application-Development-I-Full-Time-United-States?utm_source=linkedin&utm_medium=phenom-feeds"
"Builder - Software Engineer (New Grad)","Builder","2025-12-12T11:38:40.434Z","https://jobs.ashbyhq.com/reevo/2ea4d267-cd80-4481-9965-216ecd469e7e/application?utm_source=r98Re8YmoY"
"Agent Software Engineer - New Grad (2026 Start)","Agent Software Engineer","2025-12-12T11:42:27.771Z","https://jobs.ashbyhq.com/decagon/2a435dd5-1212-42bb-ae5a-d7432902acd2?src=LinkedIn"
"Brooksource","SWE","2025-12-12T11:44:23.806Z","https://www.linkedin.com/jobs/collections/recommended/?currentJobId=4324330410&discover=recommended&discoveryOrigin=JOBS_HOME_JYMBII"
"Harmonia","Junior Full Stack Developer","2025-12-12T11:48:25.658Z","https://harmonia.com/job-openings/job-application/?gh_jid=7548893003&utm_source=Simplify&ref=Simplify"
"Associate Cloud Engineer","Easy apply","2025-12-12T12:01:52.602Z","https://jobs.smartrecruiters.com/oneclick-ui/company/PublicStorage/publication/edf65fd8-df89-4013-a8b5-28ea95d3e021?dcr_ci=PublicStorage&utm_source=HireClixCS"
"BoozAllen","Full-Stack Developer, Junior","2025-12-12T12:07:53.863Z","https://bah.wd1.myworkdayjobs.com/en-US/BAH_Jobs/job/Full-Stack-Developer--Junior_R0230620"
"Software Engineer - New Grad","Software Engineer","2025-12-12T13:28:32.793Z","https://jobs.ashbyhq.com/sentra/3c9729ca-67b3-4f9f-9c64-5e1e10be1719/application?utm_source=jobright&jr_id=693c106550bbaf76504f5aaa"
"Adobe","Software Development Engineer in Lehi, Utah, United States of America","2025-12-12T13:29:02.225Z","https://careers.adobe.com/us/en/job/ADOBUSR160351EXTERNALENUS/Software-Development-Engineer?utm_source=jobright&utm_medium=phenom-feeds&source=LinkedIn"
"Atris","Software Engineer (New Grad)","2025-12-12T13:33:15.831Z","https://www.linkedin.com/jobs/view/4326874206/"
"Careers","Junior Application Developer","2025-12-12T13:36:23.775Z","https://tencent.wd1.myworkdayjobs.com/en-US/Tencent_Careers/job/IT-System-Application-Developer_R106032-1"
"Software Engineer, New College Graduate 2026","Software Engineer, New College Graduate 2026 @ Crusoe","2025-12-13T05:24:05.656Z","https://jobs.ashbyhq.com/Crusoe/f79eed01-9e4a-4b43-bcdf-5e8649ccfefa/application?utm_source=Simplify&ref=Simplify"
"Yahoo","Software Dev Engineer I","2025-12-13T05:26:48.388Z","https://ouryahoo.wd5.myworkdayjobs.com/en-US/careers/job/United-States-of-America/Software-Dev-Engineer-I_JR0026780-1/apply/applyManually?utm_source=Simplify&ref=Simplify"
"Yahoo","Software Dev Engineer I","2025-12-14T05:58:49.832Z","https://ouryahoo.wd5.myworkdayjobs.com/en-US/careers/job/Software-Dev-Engineer-I_JR0026780-1"
"Mthree","Job","2025-12-14T06:02:38.984Z","https://mthree.com/careers/job/?gh_jid=4595457006"
"InductiveAutomation","Inductive Automation","2025-12-14T06:03:59.936Z","https://jobs.lever.co/inductiveautomation/6d0dff06-a258-4b8e-9bb9-b83eec0bd5b1/apply?utm_source=Simplify&ref=Simplify"
"Click 'Accept Cookies' to confirm you are giving consent to cookies being used. LEARN MORE","Software Engineer I - Web Frameworks, Officer","2025-12-14T06:16:02.828Z","https://statestreet.wd1.myworkdayjobs.com/en-US/Global/job/Software-Engineer-I---Web-Frameworks--Officer_R-779734-1"
"Intuit","SWE 1","2025-12-14T06:21:10.534Z","https://intuit.avature.net/en_US/externalCareers/ProfileJobApplications"
"Software Engineering Careers at Intuit","Software Engineer 1 at Intuit","2025-12-14T06:22:31.292Z","https://jobs.intuit.com/job/new-york/software-engineer-1/27595/89411491904?utm_source=Simplify&ref=Simplify"
"Software Engineering Careers at Intuit","Software Engineer 1 at Intuit","2025-12-14T06:22:47.374Z","https://jobs.intuit.com/job/new-york/software-engineer-1/27595/89411491904?utm_source=Simplify&ref=Simplify"
"Career Opportunities: Software Engineer (328958)","Career Opportunities: Software Engineer (328958)","2025-12-14T06:40:56.028Z","https://career5.successfactors.eu/careers?company=capgemitecP3"
"IBM","Entry Level AI Software Engineer","2025-12-14T06:50:51.075Z","https://ibmglobal.avature.net/en_US/careers/JobDetail?jobId=73852&src=LinkedIn&source=LinkedIn&tags=&user=&formValues="
"Cisco","Software Engineer Full Stack/Application II (Co","2025-12-14T06:53:51.410Z","https://careers.cisco.com/global/en/job/CISCISGLOBAL2004337EXTERNALENGLOBAL/Software-Engineer-Full-Stack-Application-II-Co-op-United-States?utm_source=linkedin&utm_medium=phenom-feeds"
"Cisco","Software Engineer Full Stack & Application Development I (Intern) – United States in San Jose, California, United States of America","2025-12-14T07:08:09.489Z","https://careers.cisco.com/global/en/job/CISCISGLOBAL2000450EXTERNALENGLOBAL/Software-Engineer-Full-Stack-Application-Development-I-Intern-United-States?utm_source=linkedin&utm_medium=phenom-feeds"
"CVS","Associate Engineer","2025-12-14T07:22:09.004Z","https://cvshealth.wd1.myworkdayjobs.com/en-US/CVS_Health_Careers/job/Associate-Engineer_R0780418"
"SalesForce","AI Forward Deployed Engineer (Early Career)","2025-12-14T07:28:18.538Z","https://salesforce.wd12.myworkdayjobs.com/en-US/External_Career_Site/job/AI-Forward-Deployed-Engineer--New-Grad-_JR312405-1"
"Front End Software Engineer I","Job Application for Front End Software Engineer I at True Anomaly","2025-12-15T08:09:38.411Z","https://job-boards.greenhouse.io/trueanomalyinc/jobs/4992058007"
"Helic & Co.","Junior Software Engineer","2025-12-15T08:12:51.177Z","https://www.linkedin.com/jobs/search/?currentJobId=4343563238&geoId=103644278&keywords=(Software%20Engineer%20OR%20Software%20Developer%20OR%20Full%20Stack%20Developer%20OR%20Backend%20Developer%20OR%20Frontend%20Developer)%20AND%20(Entry%20Level%20OR%20New%20Grad%20OR%20Junior%20OR%20Recent%20Graduate)&origin=JOB_SEARCH_PAGE_SEARCH_BUTTON&refresh=true"
"CyberArk","Associate SWE","2025-12-15T08:14:01.969Z","https://jobs.smartrecruiters.com/oneclick-ui/company/Cyberark1/publication/90710c6f-956d-4654-89f9-728b1e042537/success?dcr_ci=Cyberark1&sid=2d92f286-613b-4daf-9dfa-6340ffbecf73"
"OC Investment Management LP","Junior Software Engineer","2025-12-15T08:14:29.150Z","https://www.linkedin.com/jobs/search/?currentJobId=4340724332&geoId=103644278&keywords=(Software%20Engineer%20OR%20Software%20Developer%20OR%20Full%20Stack%20Developer%20OR%20Backend%20Developer%20OR%20Frontend%20Developer)%20AND%20(Entry%20Level%20OR%20New%20Grad%20OR%20Junior%20OR%20Recent%20Graduate)&origin=JOB_SEARCH_PAGE_SEARCH_BUTTON&refresh=true"
"Early Career Software Engineer","Early Career Software Engineer @ Citizen Health","2025-12-15T08:18:32.157Z","https://jobs.ashbyhq.com/Citizen%20Health/ebc4c080-319d-4348-ada1-6ded3c803ec7/application?utm_source=7rN0da4Arn"
"Zipit Wireless, Inc.","Junior Full-Stack Developer","2025-12-15T08:18:49.388Z","https://www.linkedin.com/jobs/search/?currentJobId=4342821851&geoId=103644278&keywords=(Software%20Engineer%20OR%20Software%20Developer%20OR%20Full%20Stack%20Developer%20OR%20Backend%20Developer%20OR%20Frontend%20Developer)%20AND%20(Entry%20Level%20OR%20New%20Grad%20OR%20Junior%20OR%20Recent%20Graduate)&origin=JOB_SEARCH_PAGE_SEARCH_BUTTON&refresh=true"
"spotify","Web Engineer - Podcast","2025-12-15T08:19:34.474Z","https://jobs.lever.co/spotify/f7f6f641-3bb3-4a5c-8965-389c8ec605bc?lever-source=LinkedInJobs"
"Home | Enlyte Careers","Mitchell :: Careers :: Junior Full Stack .NET Developer in Remote","2025-12-15T08:24:34.408Z","https://careers-mitchell.icims.com/jobs/18519/junior-full-stack-.net-developer/job?mode=submit_apply"
"nextdoor","SWE","2025-12-15T08:26:29.184Z","https://about.nextdoor.com/careers-list/?gh_jid=7463833"
"Jr. Full Stack Engineer","Jr. Full Stack Engineer @ Fuser","2025-12-15T08:36:17.083Z","https://jobs.ashbyhq.com/fuser/2a107a06-49cd-408b-bbf9-bb6346886215/application?utm_source=Elbve7gra4"
"BAE Systems","SWE TEST SOLUTIONS 1","2025-12-16T15:27:26.406Z","https://sjobs.brassring.com/TGnewUI/Search/home/HomeWithPreLoad?PageType=JobDetails&partnerid=25771&siteid=5403&jobid=292736&utm_source=Simplify&ref=Simplify&codes=Simplify#Applypage"
"Inductive Automation","SWE Quality Assurance 1","2025-12-16T15:27:51.330Z","https://jobs.lever.co/inductiveautomation/5cdc7a76-69f7-4979-8971-72e5e06015a0/apply"
"Software Engineer - New Grad","Software Engineer","2025-12-16T15:31:02.601Z","https://jobs.ashbyhq.com/sentra/3c9729ca-67b3-4f9f-9c64-5e1e10be1719?utm_source=Simplify&ref=Simplify"
"Insulet","Associate Software Development Engineer in Test (Hybrid - Acton, MA)","2025-12-16T15:31:21.307Z","https://insulet.wd5.myworkdayjobs.com/en-US/insuletcareers/job/Acton-Massachusetts/Associate-Software-Development-Engineer-in-Test--Hybrid---Acton--MA-_REQ-2025-14278?utm_source=Simplify&ref=Simplify"
"Monterey Technologies Inc","SWE","2025-12-16T15:38:57.658Z","https://jobs.lever.co/mti-inc/6b5e1aff-24f6-42e0-b858-6ffe6071b126/apply?utm_source=Simplify&ref=Simplify"
"Software Engineering Careers at Intuit","Software Engineer 1 at Intuit","2025-12-16T15:39:24.681Z","https://jobs.intuit.com/job/mountain-view/software-engineer-1/27595/89565714160?utm_source=Simplify&ref=Simplify"
"Software Engineering Careers at Intuit","Software Engineer 1","2025-12-16T15:41:35.541Z","https://jobs.intuit.com/job/mountain-view/software-engineer-1-ai-foundation/27595/89565714176?utm_source=Simplify&ref=Simplify"
"Software Engineering Careers at Intuit","Software Engineer 1 at Intuit","2025-12-16T15:42:32.719Z","https://jobs.intuit.com/job/mountain-view/software-engineer-1/27595/89571715968?utm_source=Simplify&ref=Simplify"
"Software Engineering Careers at Intuit","Software Engineer 1 at Intuit","2025-12-16T15:43:21.765Z","https://jobs.intuit.com/job/san-diego/software-engineer-1/27595/89571716080?utm_source=Simplify&ref=Simplify"
"Software Engineering Careers at Intuit","Software Engineer 1 at Intuit","2025-12-16T15:50:31.253Z","https://jobs.intuit.com/job/mountain-view/software-engineer-1/27595/89571716016?utm_source=Simplify&ref=Simplify"
"Amentum","Entry Level Software Engineer","2025-12-16T15:51:27.246Z","https://pae.wd1.myworkdayjobs.com/en-US/amentum_careers/job/US-VA-Dahlgren/Entry-Level-Software-Engineer_R0150489?utm_source=Simplify&ref=Simplify"
"IBM","Entry Level QA/Test Developer","2025-12-16T16:08:14.801Z","https://ibmglobal.avature.net/en_US/careers/JobDetail?jobId=73416&src=LinkedIn&source=LinkedIn&tags=&user=&formValues="
"Builder - Software Engineer (New Grad)","Builder","2025-12-16T16:10:06.195Z","https://jobs.ashbyhq.com/reevo/2ea4d267-cd80-4481-9965-216ecd469e7e/application?utm_source=r98Re8YmoY"
"Software Engineer, Early Career","Job Application for Software Engineer, Early Career at Affirm","2025-12-16T16:12:22.877Z","https://job-boards.greenhouse.io/affirm/jobs/7485072003?gh_src=689c81d53us"
"Encore wire Group","SWE","2025-12-16T16:14:04.256Z","https://www.linkedin.com/jobs/collections/recommended/?currentJobId=4323421010"
"Bass Pro Shops","JR Front","2025-12-16T16:20:14.276Z","https://careers.basspro.com/us/en/job/BPSHUSR242251EXTERNALENUS/JR-Front-End-Developer?utm_source=linkedin&utm_medium=phenom-feeds"
"Qualcomm","Submit application for Software Engineer (University Grad)","2025-12-16T16:20:56.443Z","https://careers.qualcomm.com/careers/job/446715747052?pid=446715747052&hl=en-US&recommended=1&source=APPLICANT_SOURCE-6-2&show_multiple=false#apply"
"Software Engineer, Product","Software Engineer, Product @ Prelim","2025-12-16T16:23:37.461Z","https://jobs.ashbyhq.com/prelim/62449307-e366-4c92-8d22-9a9f8ec11afa?utm_source=85vwN566LJ"
"Fivetran","Software Engineer","2025-12-16T16:25:20.616Z","https://www.fivetran.com/careers/job?gh_jid=7491691003&gh_src=f831fe1b3us"
"SalesForce","Software Engineering AMTS/MTS (College Grad)","2025-12-16T16:32:57.742Z","https://salesforce.wd12.myworkdayjobs.com/en-US/External_Career_Site/job/Software-Engineering-AMTS--New-Grad-_JR307625-1"
"Nuro","Software Engineer - New Grad","2025-12-16T16:35:48.306Z","https://www.nuro.ai/careersitem?gh_jid=6932596&gh_src=bcd22a501us"
"Software Engineer I - Direct Issuance","Job Application for Software Engineer I","2025-12-17T16:29:14.814Z","https://job-boards.eu.greenhouse.io/stubhubinc/jobs/4739105101?utm_source=Simplify&ref=Simplify"
"Early Career Software Engineer","Early Career Software Engineer @ Citizen Health","2025-12-17T16:30:08.046Z","https://jobs.ashbyhq.com/Citizen%20Health/31123eb7-1084-4e90-b2e6-6b21ba448005/application?utm_source=Simplify&ref=Simplify"
"Encore capital group","Associate Software Engineer","2025-12-17T16:35:53.826Z","https://encore.wd1.myworkdayjobs.com/en-US/confidential/job/Software-Engineer_HR-19575-2"
"MorningStar","Associate Software Engineer","2025-12-17T16:41:27.374Z","https://morningstar.wd5.myworkdayjobs.com/en-US/confidential/job/Associate-Software-Engineer_REQ-054479-2"
"BlueYonder","Software Engineer I","2025-12-17T16:48:14.459Z","https://jda.wd5.myworkdayjobs.com/en-US/university/job/Software-Engineer-I_253496"
"Intuit Inc.","SWE 1","2025-12-18T17:24:34.985Z","https://intuit.avature.net/en_US/externalCareers/ProfileJobApplications"
"Software Engineering Careers at Intuit","Software Engineer I at Intuit","2025-12-18T17:24:52.280Z","https://jobs.intuit.com/job/mountain-view/software-engineer-i/27595/89635830672?utm_source=Simplify&ref=Simplify"
"Software Engineering Careers at Intuit","Software Engineer 1 at Intuit","2025-12-18T17:25:37.697Z","https://jobs.intuit.com/job/new-york/software-engineer-1/27595/89635832192?utm_source=Simplify&ref=Simplify"
"Software Engineering Careers at Intuit","Software Engineer 1 at Intuit","2025-12-18T17:26:10.645Z","https://jobs.intuit.com/job/new-york/software-engineer-1/27595/89635832160?utm_source=Simplify&ref=Simplify"
"SalesForce","Software Engineering AMTS (College Grad)","2026-01-01T00:28:11.811Z","https://salesforce.wd12.myworkdayjobs.com/en-US/External_Career_Site/job/Software-Engineering-AMTS--College-Grad-_JR322433-1"
"HCLTech","Entry Level Artificial Intelligence Consultant","2026-01-03T20:18:21.942Z","https://www.linkedin.com/jobs/view/4344445000/"
"Early Career Software Engineer","Early Career Software Engineer @ Citizen Health","2026-01-03T20:19:26.485Z","https://jobs.ashbyhq.com/Citizen%20Health/7133dff5-e5a0-425b-81da-b6f78e78d944/application?utm_source=Simplify&ref=Simplify"
"Velo","SWE","2026-01-05T23:12:17.722Z","https://veloitgroup.topgradingonline.com/job_openings/it-support-engineer-dallas-tx/candidate_applications/606054/confirmation"
"Cox","Software Engineer I","2026-01-05T23:33:52.372Z","https://cox.wd1.myworkdayjobs.com/en-US/Cox_External_Career_Site_1/job/Software-Engineer-I_R202570349"
"FactSet Careers","Software Engineer I","2026-01-05T23:42:22.712Z","https://factset.wd108.myworkdayjobs.com/en-US/FactSetCareers/job/Software-Engineer-I_R30307"
"Learn More About Peraton","Junior Software Engineer in Sterling, Virginia","2026-01-05T23:45:00.510Z","https://careers-peraton.icims.com/jobs/162357/junior-software-engineer/job?mode=submit_apply"
"University","Graduate 2026 Software Engineer I, US in San Francisco, California","2026-01-05T23:51:17.853Z","https://university-uber.icims.com/jobs/152427/graduate-2026-software-engineer-i%2c-us/job?mode=submit_apply&from=assessment"
"IBM","Associate Developer 2026","2026-01-05T23:54:27.178Z","https://ibmglobal.avature.net/en_US/careers/JobDetail?jobId=54830"
"Emonics LLC","SWE 1","2026-01-05T23:55:13.911Z","https://www.linkedin.com/jobs/collections/recommended/?currentJobId=4329236100"
"WebTPA","Associate Software Developer","2026-01-05T23:57:48.323Z","https://fa-etum-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_2001/my-profile/preview/41204"
"JPMC Candidate Experience page","2026 Emerging Talent Software Engineers","2026-01-06T00:01:19.406Z","https://jpmc.fa.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1001/my-profile/preview/210683258"
